종목명,현재가,전일비,등락률,액면가,거래량,시가총액,영업이익,PER,ROA,시장
3S,2275,0,0.00%,500,66685,1104,22,50.56,2.16,KOSDAQ
파이버프로,3355,45,-1.32%,100,95895,1102,34,36.47,-5.4,KOSDAQ
에스피시스템스,10210,250,2.51%,100,138931,1100,34,80.39,3.71,KOSDAQ
중앙에너비스,17660,320,1.85%,500,40262,1100,8,17660,0.78,KOSDAQ
서원인텍,5900,10,-0.17%,500,12469,1097,226,8.29,10.14,KOSDAQ
영화테크,10250,90,-0.87%,500,33013,1096,19,12.23,6.62,KOSDAQ
이노시뮬레이션,14000,100,0.72%,500,134422,1095,-18,-37.63,-9.74,KOSDAQ
아진엑스텍,11180,640,6.07%,500,788848,1090,21,-486.09,3.21,KOSDAQ
에스엠코어,5440,40,0.74%,500,20008,1090,20,-26.41,2.44,KOSDAQ
엔시스,10320,120,1.18%,100,8002,1089,41,56.09,4.61,KOSDAQ
디에이테크놀로지,3205,20,-0.62%,2500,192584,1086,-177,-2.59,-17.84,KOSDAQ
우리손에프앤지,1568,22,1.42%,500,233019,1086,285,10.18,5.83,KOSDAQ
현대공업,7070,100,1.43%,500,55112,1085,151,6.49,5.92,KOSDAQ
LB인베스트먼트,4670,0,0.00%,1000,542981,1084,48,16.92,3.71,KOSDAQ
옵티팜,7370,60,0.82%,500,181271,1081,-34,-50.48,-4.97,KOSDAQ
SBI핀테크솔루션즈,4495,45,1.01%,0,2298,1081,43,24.17,0.78,KOSDAQ
에스트래픽,3920,20,-0.51%,500,34282,1079,96,3.23,20.46,KOSDAQ
에이텍,13040,110,0.85%,500,80303,1077,9,20.15,5.44,KOSDAQ
진로발효,16260,140,0.87%,500,1471,1077,38,30.17,3.84,KOSDAQ
국보디자인,14320,50,-0.35%,500,3451,1074,288,4.48,6.75,KOSDAQ
베노티앤알,3560,10,0.28%,500,51102,1072,-19,-28.03,-18.9,KOSDAQ
엠에프엠코리아,2800,85,3.13%,100,2476141,1070,12,-50.91,-0.47,KOSDAQ
이큐셀,3100,0,0.00%,500,0,1069,33,8.36,7.07,KOSDAQ
세아메카닉스,4035,30,0.75%,100,61950,1069,23,29.24,5.77,KOSDAQ
마이크로컨텍솔,12850,530,4.30%,500,432765,1068,79,14.87,12.93,KOSDAQ
큐라티스,2600,25,0.97%,500,277646,1065,-215,-1.85,-48.86,KOSDAQ
유아이엘,4885,40,0.83%,500,18911,1064,58,53.1,3.26,KOSDAQ
메타바이오메드,4445,35,0.79%,500,2313463,1061,53,28.49,3.21,KOSDAQ
비아트론,8750,20,0.23%,500,9356,1060,140,11.05,8.25,KOSDAQ
와이엠씨,5440,20,0.37%,500,27559,1059,231,4.93,15.43,KOSDAQ
기가레인,1248,3,-0.24%,500,507757,1059,-71,-13.28,-8.73,KOSDAQ
선바이오,8600,20,-0.23%,500,3895,1059,2,27.04,2.78,KOSDAQ
유틸렉스,2875,65,-2.21%,500,219050,1057,-367,-3.13,-31.6,KOSDAQ
지에스이,3520,10,0.28%,500,698330,1056,46,21.08,3.07,KOSDAQ
위드텍,10350,50,0.49%,500,13631,1054,145,10.63,8.98,KOSDAQ
제너셈,12000,280,2.39%,500,38732,1052,85,16.62,16.58,KOSDAQ
중앙백신,10540,60,-0.57%,500,73208,1050,43,37.51,3.55,KOSDAQ
에이테크솔루션,10490,110,-1.04%,500,31016,1049,65,45.61,2.13,KOSDAQ
빅솔론,5450,10,0.18%,500,18169,1049,251,66.46,4.36,KOSDAQ
디티앤씨알오,8250,280,3.51%,500,1876096,1047,53,15.99,10.79,KOSDAQ
유진테크놀로지,15110,1370,9.97%,500,394031,1047,24,14.7,2.38,KOSDAQ
티비씨,1046,34,-3.15%,500,782759,1046,41,20.51,3.86,KOSDAQ
쎌바이오텍,11120,20,0.18%,500,4332,1045,61,617.78,7.24,KOSDAQ
네온테크,2505,20,0.80%,100,54005,1045,-38,-11.04,-9.8,KOSDAQ
오토앤,8080,20,0.25%,500,22844,1040,-38,-2020,-5.02,KOSDAQ
아스타,8000,370,4.85%,500,131425,1039,-28,-35.87,-25.46,KOSDAQ
젬백스링크,1239,3,-0.24%,100,140615,1038,-12,-7.16,-8.72,KOSDAQ
참좋은여행,7400,20,-0.27%,500,15485,1036,-158,45.12,-11.82,KOSDAQ
우수AMS,2650,30,-1.12%,500,454842,1035,17,-7.01,-6.41,KOSDAQ
센서뷰,3960,135,3.53%,500,343681,1035,-157,-6.61,-42.05,KOSDAQ
케이피에프,5000,30,-0.60%,500,20702,1034,396,4.27,2.88,KOSDAQ
유니테크노,4130,10,0.24%,500,186031,1033,61,19.21,3.44,KOSDAQ
리메드,16810,10,-0.06%,500,3008,1030,17,-1200.71,5.09,KOSDAQ
대한광통신,1380,14,1.02%,500,1546114,1028,35,-8.85,-1.26,KOSDAQ
