,종목명,현재가,전일비,등락률,액면가,거래량,시가총액,영업이익,PER,ROA,시장
795,코웰패션,9000.0,240.0,+2.74%,500.0,622686.0,7965.0,1017.0,16.33,6.18,KOSDAQ
799,엘앤씨바이오,34200.0,200.0,+0.59%,500.0,97631.0,7758.0,95.0,14.48,3.71,KOSDAQ
800,바이오니아,30000.0,450.0,-1.48%,500.0,121577.0,7743.0,115.0,-209.79,5.39,KOSDAQ
801,씨아이에스,10690.0,180.0,-1.66%,100.0,183819.0,7503.0,78.0,99.91,3.02,KOSDAQ
802,엠로,66900.0,3900.0,+6.19%,500.0,253416.0,7501.0,65.0,-73.19,10.17,KOSDAQ
803,성우하이텍,9290.0,10.0,-0.11%,500.0,1178098.0,7432.0,992.0,7.8,1.07,KOSDAQ
807,솔브레인홀딩스,35400.0,900.0,-2.48%,500.0,94370.0,7421.0,735.0,8.56,3.71,KOSDAQ
808,에스피지,33300.0,700.0,-2.06%,500.0,809545.0,7385.0,255.0,62.13,5.47,KOSDAQ
809,원익QnC,27750.0,200.0,+0.73%,500.0,143328.0,7295.0,1151.0,30.7,5.55,KOSDAQ
810,아프리카TV,63300.0,900.0,-1.40%,500.0,92863.0,7276.0,824.0,12.17,13.63,KOSDAQ
811,메가스터디교육,61000.0,1200.0,-1.93%,100.0,48884.0,7134.0,1354.0,7.0,12.22,KOSDAQ
815,오스코텍,18770.0,380.0,-1.98%,500.0,110571.0,7130.0,-286.0,-33.46,-28.83,KOSDAQ
816,보로노이,41150.0,550.0,+1.35%,500.0,115964.0,7058.0,-179.0,-20.59,-38.23,KOSDAQ
817,넥스틴,68300.0,600.0,-0.87%,500.0,81866.0,6964.0,565.0,15.39,44.03,KOSDAQ
818,서진시스템,18380.0,170.0,-0.92%,500.0,152101.0,6907.0,444.0,1531.67,0.13,KOSDAQ
819,안랩,68400.0,300.0,-0.44%,500.0,31410.0,6849.0,270.0,22.46,4.15,KOSDAQ
823,동국제약,15090.0,40.0,+0.27%,500.0,191034.0,6709.0,727.0,14.47,7.21,KOSDAQ
824,이녹스첨단소재,33050.0,50.0,-0.15%,500.0,102404.0,6677.0,971.0,14.34,18.67,KOSDAQ
825,컴투스,51200.0,1100.0,+2.20%,500.0,74859.0,6588.0,-167.0,15.86,-0.5,KOSDAQ
826,펩트론,31750.0,3250.0,-9.29%,500.0,1287327.0,6549.0,-152.0,-36.62,-20.61,KOSDAQ
